,lat,lon,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
101,41.55688677374318,-90.54776929849042,,471,187666.66666666666,0,0,23,148,300
102,41.595465011130166,-93.59872495215296,,438,187333.33333333334,0,2,24,117,295
103,41.21964230181571,-95.85084395979261,,217,186333.33333333334,2,10,41,50,114
104,41.588977567709215,-93.809029081831,,361,185666.66666666666,0,4,35,54,268
105,42.44732952275663,-96.34643627369073,,456,185333.33333333334,0,0,25,103,328
106,41.56026091138172,-90.5682449233695,,414,185333.33333333334,0,5,18,94,297
107,41.615004041668506,-93.852774806885,,374,185333.33333333334,0,5,28,79,262
108,41.62963899060811,-93.73652233281354,,472,184666.66666666666,0,3,10,85,374
109,42.48823353159897,-92.33473414811972,,359,184666.66666666666,1,2,37,73,246
110,41.636754089498424,-93.69773606145046,,313,183666.66666666666,0,7,35,65,206
111,41.53825721275551,-90.591296283599,,409,183000.0,0,0,35,93,281
112,42.02280997328992,-93.63334921016299,,276,182666.66666666666,0,14,19,38,205
113,41.62947759809892,-93.67793806565255,,354,181333.33333333334,0,5,30,86,233
114,42.52986437413555,-96.36133231283875,,273,181000.0,0,9,36,68,160
115,41.55145478348732,-90.48389118868836,,353,181000.0,0,5,30,74,244
116,41.56102352680008,-90.62951547885362,,205,180333.33333333334,4,10,30,57,104
117,41.55543974051199,-93.64497756015568,,334,180000.0,0,7,27,94,206
118,41.56010950712508,-93.60574092015723,,248,180000.0,0,12,31,66,139
119,41.60079210925943,-93.62936418665001,,320,178666.66666666666,0,8,26,87,199
120,41.71736644730003,-93.60045749363476,,230,176333.33333333334,3,11,22,44,150
121,41.59657300338185,-93.5991154524394,,330,176000.0,0,7,25,95,203
122,41.60043724557016,-93.76946770103737,,428,175333.33333333334,0,1,21,99,307
123,41.614899150818495,-93.69776874750637,,391,173000.0,0,4,18,112,257
124,41.54062895502142,-93.59686232951682,,327,173000.0,0,4,34,115,174
125,41.522392336387284,-90.5829514069512,,328,172000.0,0,6,26,89,207
126,41.57471511306561,-90.55130319398621,,290,172000.0,0,9,25,61,195
127,41.600481412626934,-93.75194577366267,,335,170333.33333333334,0,4,30,77,224
128,41.579942555879605,-90.57143016676955,,191,170333.33333333334,0,16,24,45,106
129,41.61479132436567,-93.83358249346233,,279,170333.33333333334,0,10,23,58,188
130,41.61494181621089,-93.7917374068313,,332,170000.0,0,7,20,48,257
131,41.60510333409974,-93.60050610667354,,291,169666.66666666666,0,3,44,84,160
132,42.51528964430726,-90.74092658689852,,345,169000.0,0,3,30,77,235
133,40.80041342357574,-91.1416396765065,,304,168666.66666666666,0,7,26,79,192
134,41.65806513162935,-91.54191847036799,,375,168333.33333333334,0,3,22,54,296
135,41.97519720614436,-91.67697751685824,,388,167333.33333333334,0,1,25,71,291
136,41.539984168335195,-90.51909641739941,,373,167000.0,0,0,32,88,253
137,41.57450764208508,-90.600360511115,,200,166333.33333333334,5,8,23,50,114
138,42.02285688619574,-93.61053539797554,,327,165666.66666666666,2,2,26,53,244
139,42.01535155177315,-91.59936743998844,,260,165333.33333333334,2,3,39,47,169
140,41.61489389362744,-93.77190842239169,,314,164666.66666666666,0,6,24,59,225
141,42.011319704509354,-93.61028903538657,,269,164333.33333333334,0,8,28,42,191
142,41.52346759476528,-90.59088517378542,,247,164333.33333333334,0,1,58,63,125
143,41.5748889591421,-90.51715565517158,,338,163333.33333333334,0,4,24,58,252
144,41.596979726977565,-93.73606087990353,,311,163000.0,0,3,34,55,219
145,41.64832472790143,-93.69768866932745,,284,161333.33333333334,2,3,30,72,177
146,42.48856131876735,-90.73902853168421,,361,161000.0,0,1,27,69,264
147,41.61486186717129,-93.75593095702746,,327,161000.0,0,4,25,70,228
148,41.63675236459211,-93.61994389643321,,277,160333.33333333334,0,6,30,45,196
149,41.64429161218429,-91.52781510692857,,266,160000.0,0,5,36,34,191
150,41.932807675,-93.5698823019999,,24,160000.0,24,0,0,0,0
151,41.58221111986452,-93.61929711458967,,273,159666.66666666666,0,9,20,59,185
152,41.66762039872957,-91.56231694641255,,366,158666.66666666666,0,5,10,44,307
153,41.56947051206407,-93.70324738082397,,250,157333.33333333334,0,7,31,36,176
154,41.70288761688221,-93.58447861133232,,331,157000.0,0,2,28,85,216
